                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.72109,                0.89724,                0.85774,                0.87474,                0.33333,                0.72183,                 0.4361,                 1.6295,                 2.9535,                 0.9776,              8.524e-05,              8.524e-05,              8.524e-05
                     88,                0.90095,                0.92032,                0.88557,                0.86921,                0.33333,                0.67947,                0.36488,                 1.6192,                  2.885,                0.97614,             8.0486e-05,             8.0486e-05,             8.0486e-05
                     89,                 0.9038,                0.91775,                0.89229,                0.86921,                0.33333,                0.67947,                0.36488,                 1.6192,                  2.885,                0.97614,               7.56e-05,               7.56e-05,               7.56e-05
                     90,                 0.8179,                0.91123,                 0.8904,                0.86921,                0.33333,                0.67947,                0.36488,                 1.6192,                  2.885,                0.97614,             7.0583e-05,             7.0583e-05,             7.0583e-05
                     91,                0.69251,                  1.033,                0.84161,                0.86921,                0.33333,                0.67947,                0.36488,                 1.6192,                  2.885,                0.97614,             6.5433e-05,             6.5433e-05,             6.5433e-05
                     92,                0.91495,                 1.2083,                0.89573,                0.62399,                0.61094,                0.67619,                0.36983,                 1.5911,                 2.7927,                0.96396,             6.0151e-05,             6.0151e-05,             6.0151e-05
                     93,                 1.0917,                 1.6115,                0.91435,                0.62399,                0.61094,                0.67619,                0.36983,                 1.5911,                 2.7927,                0.96396,             5.4737e-05,             5.4737e-05,             5.4737e-05
                     94,                0.81594,                 1.1486,                0.86586,                0.62399,                0.61094,                0.67619,                0.36983,                 1.5911,                 2.7927,                0.96396,             4.9191e-05,             4.9191e-05,             4.9191e-05
                     95,                0.83515,                 1.1614,                0.89516,                0.62399,                0.61094,                0.67619,                0.36983,                 1.5911,                 2.7927,                0.96396,             4.3512e-05,             4.3512e-05,             4.3512e-05
                     96,                0.65002,                0.91209,                0.82438,                0.59618,                0.68691,                0.67258,                0.37158,                 1.5605,                 2.6605,                0.95754,             3.7702e-05,             3.7702e-05,             3.7702e-05
                     97,                 1.0978,                 1.3829,                0.89015,                0.59618,                0.68691,                0.67258,                0.37158,                 1.5605,                 2.6605,                0.95754,              3.176e-05,              3.176e-05,              3.176e-05
                     98,                0.78206,                 1.0496,                0.82755,                0.59618,                0.68691,                0.67258,                0.37158,                 1.5605,                 2.6605,                0.95754,             2.5686e-05,             2.5686e-05,             2.5686e-05
                     99,                0.73495,                 1.0082,                0.89745,                0.59618,                0.68691,                0.67258,                0.37158,                 1.5605,                 2.6605,                0.95754,             1.9479e-05,             1.9479e-05,             1.9479e-05
                    100,                0.69687,                 0.9089,                0.86544,                0.54691,                0.58333,                0.53348,                 0.3555,                 1.5275,                 2.5335,                0.95228,             1.3141e-05,             1.3141e-05,             1.3141e-05
